Date,Close,Open,High,Low,Change %
2018-11-11,72.48,72.48,72.48,72.48,0.00%
2018-11-09,72.48,72.68,72.828,72.415,0.14%
2018-11-08,72.38,72.46,72.46,72.38,-0.10%
2018-11-07,72.45,72.95,72.95,72.45,-0.69%
2018-11-06,72.955,72.945,73.075,72.905,-0.17%
2018-11-05,73.08,72.808,73.135,72.757,0.23%
2018-11-04,72.915,72.915,72.915,72.915,0.66%
2018-11-02,72.44,73.125,73.215,72.43,-1.38%
2018-11-01,73.455,73.855,73.873,73.455,-0.68%
2018-10-31,73.96,73.92,74.14,73.8,0.38%
2018-10-30,73.68,73.56,73.705,73.52,0.38%
2018-10-29,73.4,73.355,73.525,73.323,-0.08%
2018-10-28,73.461,73.135,73.461,73.135,0.00%
2018-10-26,73.46,73.43,73.472,73.27,0.31%
2018-10-25,73.23,73.35,73.38,73.165,0.00%
2018-10-24,73.23,73.16,73.343,73.1,-0.44%
2018-10-23,73.55,73.71,73.832,73.51,-0.01%
2018-10-22,73.56,73.305,73.565,73.192,0.12%
2018-10-21,73.475,73.475,73.475,73.475,0.14%
2018-10-19,73.375,73.605,73.655,73.295,-0.21%
2018-10-18,73.53,73.59,73.615,73.485,-0.10%
2018-10-17,73.6,73.42,73.67,73.373,0.18%
2018-10-16,73.465,73.81,73.96,73.465,-0.41%
2018-10-15,73.77,73.802,74.07,73.77,0.11%
2018-10-14,73.686,73.686,73.686,73.686,0.10%
2018-10-12,73.61,73.83,73.86,73.53,-0.59%
2018-10-11,74.05,74.38,74.49,74.005,-0.27%
2018-10-10,74.25,74.16,74.293,74.06,-0.12%
2018-10-09,74.34,73.91,74.405,73.88,0.37%
2018-10-08,74.065,73.87,74.1,73.765,0.40%
2018-10-07,73.771,73.771,73.771,73.771,0.00%
2018-10-05,73.77,73.62,74.25,73.425,0.19%
2018-10-04,73.63,73.71,73.825,73.5,0.39%
2018-10-03,73.345,73.265,73.43,72.92,0.58%
2018-10-02,72.925,72.925,72.925,72.925,0.00%
2018-10-01,72.925,72.605,72.945,72.605,0.57%
2018-09-30,72.515,72.515,72.515,72.515,0.01%
2018-09-28,72.51,72.57,72.67,72.405,-0.08%
2018-09-27,72.57,72.43,72.77,72.39,-0.04%
2018-09-26,72.6,72.71,72.755,72.537,-0.12%
2018-09-25,72.685,72.905,72.96,72.575,0.02%
2018-09-24,72.67,72.48,72.74,72.34,0.60%
2018-09-23,72.24,72.24,72.24,72.24,0.00%
2018-09-21,72.24,71.86,72.48,71.76,0.31%
2018-09-20,72.015,72.345,72.345,72.015,-0.48%
2018-09-19,72.36,72.72,72.875,72.345,-0.48%
2018-09-18,72.71,72.56,72.99,72.36,0.23%
2018-09-17,72.54,72.53,72.695,72.315,0.60%
2018-09-16,72.105,72.105,72.105,72.105,0.31%
2018-09-14,71.88,71.7,71.995,71.535,-0.22%
2018-09-13,72.037,72.037,72.037,72.037,-0.17%
2018-09-12,72.16,72.843,72.92,71.925,-0.66%
2018-09-11,72.64,72.31,72.75,72.25,0.26%
2018-09-10,72.455,72.135,72.68,72.075,0.49%
2018-09-09,72.105,72.105,72.105,72.105,0.44%
2018-09-07,71.79,71.96,72.045,71.665,-0.22%
2018-09-06,71.95,71.63,72.105,71.63,0.27%
2018-09-05,71.755,71.405,71.955,71.375,0.24%
2018-09-04,71.585,71.285,71.585,71.095,0.52%
2018-09-03,71.215,70.79,71.22,70.725,0.30%
2018-09-02,71.005,71.005,71.005,71.005,0.00%
2018-08-31,71.005,70.955,71.025,70.855,0.37%
2018-08-30,70.745,70.635,70.875,70.595,0.30%
2018-08-29,70.535,70.325,70.635,70.24,0.62%
2018-08-28,70.1,70.05,70.297,70.05,-0.09%
2018-08-27,70.165,69.765,70.165,69.705,0.56%
2018-08-26,69.775,69.775,69.775,69.775,-0.28%
2018-08-24,69.97,70.22,70.24,69.897,-0.19%
2018-08-23,70.105,70.015,70.17,69.968,0.34%
2018-08-22,69.87,69.88,69.895,69.8,0.01%
2018-08-21,69.86,69.665,69.92,69.535,0.06%
2018-08-20,69.82,69.82,69.88,69.6,0.04%
2018-08-19,69.795,69.795,69.795,69.795,-0.44%
2018-08-17,70.1,70.13,70.16,70.08,0.01%
2018-08-16,70.09,70.23,70.42,70.09,0.24%
2018-08-15,69.92,69.92,69.92,69.92,-0.06%
2018-08-14,69.96,69.86,70.09,69.7,-0.09%
2018-08-13,70.02,69.485,70.02,69.405,1.34%
2018-08-12,69.095,69.095,69.095,69.095,0.30%
2018-08-10,68.89,68.845,69.025,68.767,0.19%
2018-08-09,68.76,68.48,68.76,68.46,0.15%
2018-08-08,68.66,68.677,68.715,68.58,0.04%
2018-08-07,68.63,68.82,68.94,68.63,-0.29%
2018-08-06,68.83,68.58,68.9,68.545,0.46%
2018-08-05,68.515,68.515,68.515,68.515,-0.04%
2018-08-03,68.545,68.695,68.845,68.545,-0.12%
2018-08-02,68.625,68.375,68.735,68.265,0.40%
2018-08-01,68.35,68.56,68.632,68.35,-0.16%
2018-07-31,68.46,68.71,68.71,68.45,-0.21%
2018-07-30,68.605,68.705,68.793,68.605,-0.03%
2018-07-29,68.625,68.625,68.625,68.625,0.03%
2018-07-27,68.605,68.655,68.755,68.535,-0.08%
2018-07-26,68.66,68.705,68.76,68.618,-0.10%
2018-07-25,68.73,68.965,68.98,68.67,-0.32%
2018-07-24,68.948,68.97,69.088,68.845,0.15%
2018-07-23,68.845,68.705,68.865,68.645,0.15%
2018-07-22,68.743,68.743,68.743,68.743,0.00%
2018-07-20,68.74,69.025,69.132,68.74,-0.41%
2018-07-19,69.02,68.72,69.11,68.7,0.58%
2018-07-18,68.625,68.425,68.645,68.385,0.28%
2018-07-17,68.43,68.36,68.475,68.28,-0.18%
2018-07-16,68.55,68.56,68.72,68.51,0.08%
2018-07-15,68.497,68.497,68.497,68.497,-0.00%
2018-07-13,68.5,68.52,68.562,68.335,-0.03%
2018-07-12,68.52,68.765,68.765,68.49,-0.31%
2018-07-11,68.73,68.825,68.895,68.71,-0.04%
2018-07-10,68.755,68.665,68.865,68.655,0.14%
2018-07-09,68.66,68.57,68.79,68.57,-0.15%
2018-07-08,68.765,68.765,68.765,68.765,-0.06%
2018-07-06,68.805,68.885,69.03,68.805,-0.11%
2018-07-05,68.88,68.81,69.01,68.695,0.28%
2018-07-04,68.69,68.525,68.778,68.445,0.20%
2018-07-03,68.55,68.935,68.965,68.525,-0.25%
2018-07-02,68.72,68.495,68.825,68.34,0.40%
2018-07-01,68.445,68.445,68.445,68.445,-0.02%
2018-06-29,68.46,68.7,68.7,68.36,-0.55%
2018-06-28,68.84,68.9,69.1,68.725,0.29%
2018-06-27,68.64,68.43,68.71,68.425,0.39%
2018-06-26,68.37,68.14,68.37,68.08,0.37%
2018-06-25,68.115,67.905,68.172,67.905,0.37%
2018-06-24,67.865,67.865,67.865,67.865,-0.01%
2018-06-22,67.87,67.84,67.89,67.715,-0.11%
2018-06-21,67.945,68.205,68.243,67.945,-0.17%
2018-06-20,68.06,68.1,68.185,68.03,-0.37%
2018-06-19,68.31,67.98,68.385,67.978,0.40%
2018-06-18,68.04,68.16,68.17,67.95,-0.03%
2018-06-17,68.06,68.06,68.06,68.06,0.00%
2018-06-15,68.06,67.915,68.065,67.888,0.55%
2018-06-14,67.69,67.575,67.735,67.57,0.07%
2018-06-13,67.645,67.6,67.705,67.55,0.24%
2018-06-12,67.48,67.455,67.51,67.36,0.01%
2018-06-11,67.47,67.445,67.48,67.275,-0.07%
2018-06-10,67.52,67.52,67.52,67.52,-0.01%
2018-06-08,67.53,67.47,67.795,67.44,0.16%
2018-06-07,67.42,66.94,67.46,66.94,0.87%
2018-06-06,66.84,67.09,67.165,66.84,-0.39%
2018-06-05,67.1,67.08,67.23,67.08,0.04%
2018-06-04,67.07,66.915,67.17,66.85,0.20%
2018-06-03,66.935,66.935,66.935,66.935,-0.09%
2018-06-01,66.995,67.455,67.455,66.995,-0.65%
2018-05-31,67.43,67.43,67.6,67.32,-0.01%
2018-05-30,67.44,67.855,67.9,67.395,-0.59%
2018-05-29,67.84,67.63,67.995,67.63,0.65%
2018-05-28,67.4,67.505,67.532,67.297,-0.49%
2018-05-27,67.732,67.732,67.732,67.732,0.00%
2018-05-25,67.73,68.33,68.33,67.718,-0.89%
2018-05-24,68.34,68.35,68.435,68.295,-0.04%
2018-05-23,68.37,68.16,68.485,68.16,0.51%
2018-05-22,68.02,67.99,68.095,67.938,-0.14%
2018-05-21,68.115,68.105,68.165,68.022,0.18%
2018-05-18,67.99,67.775,68.1,67.767,0.33%
2018-05-17,67.765,67.725,67.81,67.585,-0.01%
2018-05-16,67.775,68.105,68.135,67.755,-0.45%
2018-05-15,68.08,67.69,68.147,67.46,0.77%
2018-05-14,67.56,67.257,67.63,67.22,0.30%
2018-05-11,67.36,67.145,67.38,67.115,0.17%
2018-05-10,67.245,67.335,67.438,67.225,-0.16%
2018-05-09,67.35,67.135,67.478,67.135,0.33%
2018-05-08,67.13,67.175,67.29,66.987,-0.01%
2018-05-07,67.14,66.83,67.185,66.79,0.48%
2018-05-04,66.82,66.66,66.92,66.63,0.22%
2018-05-03,66.67,66.605,66.72,66.53,-0.03%
2018-05-02,66.69,66.76,66.782,66.64,-0.16%
2018-05-01,66.8,66.46,66.81,66.45,0.51%
2018-04-30,66.46,66.6,66.6,66.35,-0.24%
2018-04-27,66.62,66.84,66.853,66.62,-0.28%
2018-04-26,66.805,66.885,66.912,66.698,-0.17%
2018-04-25,66.92,66.49,66.98,66.49,0.77%
2018-04-24,66.41,66.42,66.46,66.295,-0.18%
2018-04-23,66.53,66.21,66.53,66.15,0.48%
2018-04-20,66.21,66.03,66.21,65.96,0.52%
2018-04-19,65.87,65.85,65.87,65.735,0.23%
2018-04-18,65.72,65.67,65.79,65.6,0.06%
2018-04-17,65.68,65.45,65.703,65.42,0.32%
2018-04-16,65.47,65.33,65.515,65.32,0.33%
2018-04-13,65.255,65.305,65.305,65.185,-0.05%
2018-04-12,65.29,65.32,65.45,65.248,0.05%
2018-04-11,65.26,65,65.315,64.985,0.48%
2018-04-10,64.95,64.89,65.035,64.89,-0.01%
2018-04-09,64.955,64.865,65.058,64.85,0.04%
2018-04-06,64.93,64.935,65.045,64.92,0.06%
2018-04-05,64.89,65.04,65.14,64.89,-0.24%
2018-04-04,65.045,65.005,65.18,64.905,0.07%
2018-04-03,65,65.09,65.135,64.985,-0.20%
2018-04-02,65.13,65.12,65.13,65.09,0.02%
2018-03-30,65.115,65.115,65.115,65.115,0.00%
